date,open,high,low,close,volume,dividend,split
2007-08-07,3350.0,3350.0,3350.0,3350.0,96400000,0,1
2007-08-08,3417.0,3417.0,3417.0,3417.0,3600000,0,1
2007-08-12,3485.0,3485.0,3485.0,3485.0,3019890,0,1
2007-08-13,3554.0,3554.0,3554.0,3554.0,3017080,0,1
2007-08-14,3625.0,3625.0,3625.0,3625.0,3644619,0,1
2007-08-15,3697.0,3697.0,3662.0,3662.0,557874,0,1
2007-08-18,3735.0,3735.0,3735.0,3735.0,18370993,0,1
2007-08-19,3809.0,3809.0,3739.0,3739.0,54953,0,1
2007-08-20,3813.0,3813.0,3744.0,3744.0,70223,0,1
2007-08-21,3818.0,3818.0,3768.0,3768.0,348209,0,1
2007-08-22,3843.0,3843.0,3776.0,3776.0,124266,0,1
2007-08-25,3851.0,3851.0,3780.0,3780.0,64644,0,1
2007-08-26,3855.0,3855.0,3797.0,3797.0,251467,0,1
2007-08-27,3872.0,3872.0,3814.0,3814.0,248213,0,1
2007-08-28,3890.0,3890.0,3828.0,3828.0,201839,0,1
2007-09-01,3904.0,3904.0,3840.0,3840.0,171781,0,1
2007-09-02,3916.0,3916.0,3846.0,3846.0,92762,0,1
2007-09-03,3922.0,3922.0,3865.0,3865.0,270864,0,1
2007-09-04,3942.0,3942.0,3871.0,3871.0,81634,0,1
2007-09-05,3947.0,3948.0,3875.0,3875.0,59547,0,1
2007-09-08,3952.0,3952.0,3880.0,3880.0,76638,0,1
2007-09-09,3957.0,3957.0,3882.0,3882.0,34405,0,1
2007-09-10,3959.0,3959.0,3887.0,3887.0,77371,0,1
2007-09-11,3964.0,3964.0,3890.0,3890.0,41225,0,1
2007-09-12,3967.0,3967.0,2175.0,3893.0,98687886,0,1
2007-09-15,3970.0,3970.0,3907.0,3907.0,201619,0,1
2007-09-16,3985.0,3985.0,3933.0,3933.0,370280,0,1
2007-09-17,4011.0,4011.0,3995.0,3995.0,868871,0,1
2007-09-18,4074.0,4074.0,4002.0,4002.0,102800,0,1
2007-09-19,4082.0,4082.0,4004.0,4004.0,29561,0,1
2007-09-22,4084.0,4084.0,4007.0,4007.0,37346,0,1
2007-09-23,4087.0,4087.0,4014.0,4014.0,92181,0,1
2007-09-24,4094.0,4094.0,4016.0,4016.0,23169,0,1
2007-09-25,4096.0,4096.0,4019.0,4019.0,42228,0,1
2007-09-26,4099.0,4099.0,4039.0,4039.0,271312,0,1
2007-09-29,4119.0,4119.0,4040.0,4040.0,18495,0,1
2007-09-30,4120.0,4120.0,4042.0,4042.0,28010,0,1
2007-10-01,4122.0,4122.0,4044.0,4044.0,23985,0,1
2007-10-02,4124.0,4124.0,4047.0,4047.0,43180,0,1
2007-10-06,4127.0,4127.0,4052.0,4052.0,70459,0,1
2007-10-07,4133.0,4133.0,4058.0,4058.0,74877,0,1
2007-10-08,4139.0,4139.0,4064.0,4064.0,78132,0,1
2007-10-09,4145.0,4145.0,4065.0,4065.0,17080,0,1
2007-10-10,4146.0,4146.0,4074.0,4074.0,127972,0,1
2007-10-14,4155.0,4155.0,4077.0,4077.0,45242,0,1
2007-10-15,4158.0,4158.0,4158.0,4158.0,5994,0,1
2007-10-16,4241.0,4241.0,4241.0,4241.0,14905,0,1
2007-10-17,4325.0,4325.0,4325.0,4325.0,2285,0,1
2007-10-20,4411.0,4411.0,4411.0,4411.0,8352,0,1
2007-10-21,4499.0,4499.0,4499.0,4499.0,60999,0,1
2007-10-22,4588.0,4588.0,4501.0,4501.0,27127,0,1
2007-10-23,4591.0,4591.0,4591.0,4591.0,49999,0,1
